species,m,adduct,adduct.defect
[2M+Cl],2,35.45,35.620321
[2M+H-2H2O],2,-35.022,-34.767089
[2M+H-3H2O],2,-53.037,-52.654995
[2M+H-H2O],2,-17.007,-16.879183
[2M+H],2,1.008,1.008723
[2M+HCOO],2,45.017,44.675943
[2M+K],2,39.098,37.875772
[2M+Na],2,22.99,22.79597
[M-],1,0,0
[M-2H],1,-2.016,-2.017446
[M-2H+Na],1,20.974,20.778524
[M-Br+O],1,-62.924,-62.924
[M-Cl+O],1,-18.974,-18.974
[M-H-H2O],1,-19.023,-18.896629
[M-H],1,-1.008,-1.008723
[M-H+H2O],1,17.007,16.879183
[M+],1,0,0
[M+10H],1,10.08,10.08723
[M+10H+8Na+K],1,233.098,230.330762
[M+11H],1,11.088,11.095953
[M+11H+8Na+K],1,234.106,231.339485
[M+12H],1,12.096,12.104676
[M+13H],1,13.104,13.113399
[M+14H],1,14.112,14.122122
[M+15H],1,15.12,15.130845
[M+16H],1,16.128,16.139568
[M+17H],1,17.136,17.148291
[M+18H],1,18.144,18.157014
[M+19H],1,19.152,19.165737
[M+20H],1,20.16,20.17446
[M+21H],1,21.168,21.183183
[M+22H],1,22.176,22.191906
[M+23H],1,23.184,23.200629
[M+24H],1,24.192,24.209352
[M+25H],1,25.2,25.218075
[M+26H],1,26.208,26.226798
[M+27H],1,27.216,27.235521
[M+28H],1,28.224,28.244244
[M+29H],1,29.232,29.252967
[M+2H-2H2O],1,-34.014,-33.758366
[M+2H-H2O],1,-15.999,-15.87046
[M+2H],1,2.016,2.017446
[M+2H+K],1,41.114,39.893218
[M+2Na-H],1,44.972,44.583217
[M+2Na],1,45.98,45.59194
[M+30H],1,30.24,30.26169
[M+3H],1,3.024,3.026169
[M+4H],1,4.032,4.034892
[M+5H],1,5.04,5.043615
[M+6H],1,6.048,6.052338
[M+7H],1,7.056,7.061061
[M+7H+8Na+K],1,230.074,227.304593
[M+8H],1,8.064,8.069784
[M+8H+8Na+K],1,231.082,228.313316
[M+9H],1,9.072,9.078507
[M+9H+8Na+K],1,232.09,229.322039
[M+CF3COO],1,113.014,112.125091
[M+CH3COO],1,59.009,59.009
[M+Cl],1,35.45,35.620321
[M+Cu],1,63.546,62.577692
[M+H-2H2O],1,-35.022,-34.767089
[M+H-H2O-NH3],1,-34.038,-33.807752
[M+H-H2O],1,-17.007,-16.879183
[M+H],1,1.008,1.008723
[M+H+H2O],1,19.023,18.896629
[M+H+K],1,40.106,38.884495
[M+H+Na],1,23.998,23.804693
[M+HCOO],1,45.017,44.675943
[M+K],1,39.098,37.875772
[M+Na-2H2O],1,-13.04,-12.979842
[M+Na-H2O],1,4.98,4.784524
[M+Na],1,22.99,22.79597
[M+Na+K],1,62.088,60.671742
[M+NH4],1,18.039,17.937292
[M+OH],1,17.007,16.879183
