Z,symbol,name,isotope,monoisotopic.mass,isotopic.composition,avg.isotopic.weight
1,H,hydrogen,1,1.007 825 032 23(9),0.999 885(70),"[1.00784,1.00811]"
1,D,deuterium,2,2.014 101 778 12(12),0.000 115(70),"[1.00784,1.00811]"
1,T,tritium,3,3.016 049 2779(24),,"[1.00784,1.00811]"
2,3He,helium,3,3.016 029 3201(25),0.000 001 34(3),4.002602(2)
2,He,helium,4,4.002 603 254 13(6),0.999 998 66(3),4.002602(2)
3,6Li,lithium,6,6.015 122 8874(16),0.0759(4),"[6.938,6.997]"
3,Li,lithium,7,7.016 003 4366(45),0.9241(4),"[6.938,6.997]"
4,Be,beryllium,9,9.012 183 065(82),1,9.0121831(5)
5,10B,boron,10,10.012 936 95(41),0.199(7),"[10.806,10.821]"
5,B,boron,11,11.009 305 36(45),0.801(7),"[10.806,10.821]"
6,C,carbon,12,12.0000000(00),0.9893(8),"[12.0096,12.0116]"
6,13C,carbon,13,13.003 354 835 07(23),0.0107(8),"[12.0096,12.0116]"
6,14C,carbon,14,14.003 241 9884(40),,"[12.0096,12.0116]"
7,N,nitrogen,14,14.003 074 004 43(20),0.996 36(20),"[14.00643,14.00728]"
7,15N,nitrogen,15,15.000 108 898 88(64),0.003 64(20),"[14.00643,14.00728]"
8,O,oxygen,16,15.994 914 619 57(17),0.997 57(16),"[15.99903,15.99977]"
8,17O,oxygen,17,16.999 131 756 50(69),0.000 38(1),"[15.99903,15.99977]"
8,18O,oxygen,18,17.999 159 612 86(76),0.002 05(14),"[15.99903,15.99977]"
9,F,fluorine,19,18.998 403 162 73(92),1,18.998403163(6)
10,Ne,neon,20,19.992 440 1762(17),0.9048(3),20.1797(6)
10,21Ne,neon,21,20.993 846 685(41),0.0027(1),20.1797(6)
10,22Ne,neon,22,21.991 385 114(18),0.0925(3),20.1797(6)
11,Na,sodium,23,22.989 769 2820(19),1,22.98976928(2)
12,Mg,magnesium,24,23.985 041 697(14),0.7899(4),"[24.304,24.307]"
12,25Mg,magnesium,25,24.985 836 976(50),0.1000(1),"[24.304,24.307]"
12,26Mg,magnesium,26,25.982 592 968(31),0.1101(3),"[24.304,24.307]"
13,Al,aluminum,27,26.981 538 53(11),1,26.9815385(7)
14,Si,silicon,28,27.976 926 534 65(44),0.922 23(19),"[28.084,28.086]"
14,29Si,silicon,29,28.976 494 664 90(52),0.046 85(8),"[28.084,28.086]"
14,30Si,silicon,30,29.973 770 136(23),0.030 92(11),"[28.084,28.086]"
15,P,phosphorus,31,30.973 761 998 42(70),1,30.973761998(5)
16,S,sulfur,32,31.972 071 1744(14),0.9499(26),"[32.059,32.076]"
16,33S,sulfur,33,32.971 458 9098(15),0.0075(2),"[32.059,32.076]"
16,34S,sulfur,34,33.967 867 004(47),0.0425(24),"[32.059,32.076]"
16,35S,sulfur,36,35.967 080 71(20),0.0001(1),"[32.059,32.076]"
17,Cl,chlorine,35,34.968 852 682(37),0.7576(10),"[35.446,35.457]"
17,37Cl,chlorine,37,36.965 902 602(55),0.2424(10),"[35.446,35.457]"
18,36Ar,argon,36,35.967 545 105(28),0.003 336(21),39.948(1)
18,38Ar,argon,38,37.962 732 11(21),0.000 629(7),39.948(1)
18,Ar,argon,40,39.962 383 1237(24),0.996 035(25),39.948(1)
19,K,potassium,39,38.963 706 4864(49),0.932 581(44),39.0983(1)
19,40K,potassium,40,39.963 998 166(60),0.000 117(1),39.0983(1)
19,41K,potassium,41,40.961 825 2579(41),0.067 302(44),39.0983(1)
20,Ca,calcium,40,39.962 590 863(22),0.969 41(156),40.078(4)
20,42Ca,calcium,42,41.958 617 83(16),0.006 47(23),40.078(4)
20,43Ca,calcium,43,42.958 766 44(24),0.001 35(10),40.078(4)
20,44Ca,calcium,44,43.955 481 56(35),0.020 86(110),40.078(4)
20,46Ca,calcium,46,45.953 6890(24),0.000 04(3),40.078(4)
20,48Ca,calcium,48,47.952 522 76(13),0.001 87(21),40.078(4)
21,Sc,scandium,45,44.955 908 28(77),1,44.955908(5)
